vehiculo_marca;vehiculo_modelo;vehiculo_traccion;vehiculo_id;vehiculo_cilindrada;vehiculo_potencia;vehiculo_tipo_transmision;vehiculo_tipo_combustible;vehiculo_standard_emision;lca_numero;fecha_firma;ensayo_gei_numero;ensayo_gei_laboratorio;emision_CO2;consumo_urbano;consumo_extraurbano;consumo_mixto;id_etiqueta
BAIC;SEDÁN;4x2;BAIC B205EFA;1992;;AUTOMÁTICA;NAFTA;EURO V;138;8/10/2018;CSR330722;VCA;259;14.5;8.6;10.8;000064A
BAIC;RURAL;4x2;BAIC 4A91T;1499;100;CVT;NAFTA;EURO V;309;25/4/2019;LCA 51 1236 047 17;LUXCONTROL S.A.;179;9.4;6.7;7.7;000283B
BAIC;RURAL;4x2;BAIC 4A91T;1499;100;MANUAL;NAFTA;EURO V;311;25/4/2019;LCA 51 1236 047 17;LUXCONTROL S.A.;170;9.1;6.2;7.3;000287B
BMW;SEDÁN 3/5 PUERTAS;4x2;BMW B38B15A (100 kW);1499;;AUTOMÁTICA;NAFTA;EURO VI b;;4/9/2015;201535562;DEKRA;122;6.4;4.6;5.2;000124A
BMW;SEDÁN 4 PUERTAS;4x2;BMW B48B20A;1998;135;AUTOMÁTICA;NAFTA;EURO VI b;;10/11/2016;201535474;DEKRA;134;7.6;4.7;5.8;000539C
BMW;SEDÁN 5 PUERTAS / COUPÉ;4x2;BMW B48B20A;1998;135;AUTOMÁTICA;NAFTA;EURO VI b;;13/9/2016;201638653;DEKRA;135;7.4;5;5.9;000527C
BMW;CONVERTIBLE;4x2;BMW B48B20A;1998;135;AUTOMÁTICA;NAFTA;EURO VI b;;13/9/2016;201638653;DEKRA;140;7.7;5.2;6.1;000528C
BMW;SEDÁN 3 PUERTAS / 5 PUERTAS / COUPÉ;4x2;BMW B58B30A;2998;;AUTOMÁTICA;NAFTA;EURO VI b;;24/10/2016;201638657;DEKRA;163;9.4;5.8;7.1;000184B
BMW;CONVERTIBLE;4x2;BMW B58B30A;2998;;AUTOMÁTICA;NAFTA;EURO VI b;;24/10/2016;201638657;DEKRA;163;9.4;5.8;7.1;000185B
BMW;RURAL;4x2;BMW B48A20A;1998;;AUTOMÁTICA;NAFTA;EURO VI c;;22/1/2018;201741950;DEKRA;139;7.4;5.3;6.1;000125A
BMW;RURAL;4x2;BMW B48A20A;1998;;AUTOMÁTICA;NAFTA;EURO VI c;;31/1/2018;201742594;DEKRA;138;7.4;5.3;6.0;000122A
BMW;RURAL;4x4;BMW B48A20B;1998;;AUTOMÁTICA;NAFTA;EURO VI c;3;13/3/2018;201742421;DEKRA;151;8.0;5.9;6.6;000142A
BMW;RURAL;4x2;BMW B48B20A;1998;;AUTOMÁTICA;NAFTA;EURO VI d;79;16/5/2018;201742827;DEKRA;169;8.8;6.6;7.4;000016A
BMW;RURAL;4x4;BMW B48B20A;1998;;AUTOMÁTICA;NAFTA;EURO VI d;79;16/5/2018;201742827;DEKRA;173;8.9;6.8;7.6;000017A
BMW;RURAL;4x2;BMW B38A15A;1499;;MANUAL;NAFTA;EURO VI c;108;25/7/2018;201743657;DEKRA;139;7.3;5.4;6.1;000027A
BMW;RURAL;4x2;BMW B38A15A;1499;;AUTOMÁTICA;NAFTA;EURO VI c;109;25/7/2018;201743657;DEKRA;143;7.6;5.6;6.3;000028A
BMW;SEDÁN 5 PUERTAS;4x4;BMW B48B20A;1998;;AUTOMÁTICA;NAFTA;EURO VI c;122;13/8/2018;201843871;DEKRA;178;9.0;7.1;7.8;000045A
BMW;SEDÁN 5 PUERTAS;4x4;BMW B48B20B;1998;;AUTOMÁTICA;NAFTA;EURO VI c;125;15/8/2018;201743689;DEKRA;177;9.3;6.9;7.8;000049A
BMW;SEDÁN 5 PUERTAS;4x4;BMW B58B30A;2998;;AUTOMÁTICA;NAFTA;EURO VI c;172;17/10/2018;201743801;DEKRA;210;11.6;7.8;9.2;000111A
BMW;SEDÁN 4 PUERTAS;4x2;BMW B48B20B;1998;;AUTOMÁTICA;NAFTA;EURO VI c;178;6/12/2018;201844325;DEKRA;156;8.3;6.0;6.8;000145A
BMW;RURAL;4x4;BMW B58B30C;2998;;AUTOMÁTICA;NAFTA;EURO VI b;215;9/1/2019;201844716;DEKRA;211;11.2;8.1;9.2;000186B
BMW;RURAL;4x4;BMW B58B30C;2998;;AUTOMÁTICA;NAFTA;EURO VI b;215;9/1/2019;201844716;DEKRA;215;11.6;8.2;9.4;000187B
BMW;COUPÉ;4x4;BMW N63B44D;4395;;AUTOMÁTICA;NAFTA;EURO VI b;218;17/1/2019;201845307;DEKRA;238;14.6;8.0;10.4;000204B
BMW;SEEDÁN 4 PUERTAS;4x2;BMW B48B20B;1998;;AUTOMÁTICA;NAFTA;EURO VI c;272;3/4/2019;201845472;DEKRA;147;7.9;5.6;6.4;000257B
BMW;CONVERTIBLE;4x2;BMW B48B20B;1998;190;AUTOMÁTICA;NAFTA;EURO VI c;315;25/4/2019;201845261;DEKRA;149;7.9;5.7;6.5;000291B
BMW;RURAL;4x4;BMW B48A20E;1998;225;AUTOMÁTICA;NAFTA;EURO VI c;386;5/6/2019;18-00075-CZ-GBM-00;TÜV SÜD Czech s.r.o.;168;9.2;6.3;7.4;000347B
BMW;SEDÁN 4 PUERTAS;4x2;BMW B48B20A;1998;135;AUOTMÁTICA;NAFTA;EURO VI;488;6/9/2019;19-00078-CZ-GBM-00;TÜV SÜD Czech s.r.o.;144;7.4;5.6;6.3;000423B
